,Date,Country,Cases,Deaths,Recovered,week_number,month,year
172,12/1/2014,Sierra Leone,5831,1321,4510,49,12,2014
173,12/1/2014,Liberia,2801,0,0,49,12,2014
174,12/1/2014,Nigeria,19,7,12,49,12,2014
175,12/1/2014,Guinea,1921,1102,819,49,12,2014
176,12/1/2014,USA,4,1,3,49,12,2014
177,12/3/2014,Mali,7,0,0,49,12,2014
178,12/3/2014,Spain,1,0,1,49,12,2014
179,12/3/2014,Guinea,1929,1117,812,49,12,2014
180,12/3/2014,Senegal,1,0,1,49,12,2014
181,12/3/2014,Sierra Leone,5978,1374,4604,49,12,2014
182,12/3/2014,Liberia,2801,0,0,49,12,2014
183,12/3/2014,USA,4,1,3,49,12,2014
184,12/3/2014,Nigeria,19,7,12,49,12,2014
185,12/10/2014,Spain,1,0,1,50,12,2014
186,12/10/2014,Guinea,2051,1207,844,50,12,2014
187,12/10/2014,Senegal,1,0,1,50,12,2014
188,12/10/2014,Mali,7,0,0,50,12,2014
189,12/10/2014,Liberia,2830,0,0,50,12,2014
190,12/10/2014,Sierra Leone,6375,1559,4816,50,12,2014
191,12/10/2014,Nigeria,19,7,12,50,12,2014
192,12/10/2014,USA,4,1,3,50,12,2014
193,12/15/2014,Spain,1,0,1,51,12,2014
194,12/15/2014,Nigeria,19,7,12,51,12,2014
195,12/15/2014,Guinea,2115,1255,860,51,12,2014
196,12/15/2014,USA,4,1,3,51,12,2014
197,12/15/2014,Mali,7,0,0,51,12,2014
198,12/15/2014,Liberia,2946,0,0,51,12,2014
199,12/15/2014,Senegal,1,0,1,51,12,2014
200,12/15/2014,Sierra Leone,6638,1824,4814,51,12,2014
201,12/17/2014,Nigeria,19,7,12,51,12,2014
202,12/17/2014,Senegal,1,0,1,51,12,2014
203,12/17/2014,Spain,1,0,1,51,12,2014
204,12/17/2014,Liberia,2946,0,0,51,12,2014
205,12/17/2014,Mali,7,0,0,51,12,2014
206,12/17/2014,USA,4,1,3,51,12,2014
207,12/17/2014,Guinea,2127,1262,865,51,12,2014
208,12/17/2014,Sierra Leone,6702,1876,4826,51,12,2014
209,12/22/2014,Spain,1,0,1,52,12,2014
210,12/22/2014,USA,4,1,3,52,12,2014
211,12/22/2014,Nigeria,19,7,12,52,12,2014
212,12/22/2014,Senegal,1,0,1,52,12,2014
213,12/22/2014,Guinea,2259,1323,936,52,12,2014
214,12/22/2014,Liberia,3085,0,0,52,12,2014
215,12/22/2014,Mali,7,0,0,52,12,2014
216,12/22/2014,Sierra Leone,6975,2190,4785,52,12,2014
217,12/23/2014,Sierra Leone,7017,2216,4801,52,12,2014
218,12/23/2014,Mali,7,0,0,52,12,2014
219,12/23/2014,Spain,1,0,1,52,12,2014
220,12/23/2014,Liberia,3085,0,0,52,12,2014
221,12/23/2014,Senegal,1,0,1,52,12,2014
222,12/23/2014,Guinea,2284,1344,940,52,12,2014
223,12/23/2014,Nigeria,19,7,12,52,12,2014
224,12/23/2014,USA,4,1,3,52,12,2014
225,12/24/2014,Nigeria,19,7,12,52,12,2014
226,12/24/2014,Senegal,1,0,1,52,12,2014
227,12/24/2014,Guinea,2284,1344,940,52,12,2014
228,12/24/2014,Sierra Leone,7017,2216,4801,52,12,2014
229,12/24/2014,Spain,1,0,1,52,12,2014
230,12/24/2014,Mali,7,0,0,52,12,2014
231,12/24/2014,Liberia,3085,0,0,52,12,2014
232,12/24/2014,USA,4,1,3,52,12,2014
233,12/26/2014,Senegal,1,0,1,52,12,2014
234,12/26/2014,Mali,7,0,0,52,12,2014
235,12/26/2014,Sierra Leone,7160,2289,4871,52,12,2014
236,12/26/2014,USA,4,1,3,52,12,2014
237,12/26/2014,Nigeria,19,7,12,52,12,2014
238,12/26/2014,Guinea,2342,1385,957,52,12,2014
239,12/26/2014,Liberia,3085,0,0,52,12,2014
240,12/26/2014,Spain,1,0,1,52,12,2014
241,12/29/2014,USA,4,1,3,1,12,2014
242,12/29/2014,Sierra Leone,7326,2366,4960,1,12,2014
243,12/29/2014,Nigeria,19,7,12,1,12,2014
244,12/29/2014,Mali,7,0,0,1,12,2014
