Datetime,Text
2016-03-22 23:32:54+00:00,"NigeriaNewsdesk: Scientists warn of emergence of new virus deadlier than Ebola, Zika https://today.ng/p/p6bo2 via … https://twitter.com/NigeriaNewsdesk/status/712418594622058496/photo/1"
2016-03-22 23:32:20+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:32:12+00:00,Fifth Person Dies In Guinea In New Ebola Outbreak: This has been Ebola's worst outbreak on record and has majo... http://bit.ly/1RinDy6
2016-03-22 23:32:03+00:00,Hasta 9 meses puede permanecer el virus del ébola en el semen http://www.grandesmedios.com/hasta-9-meses-puede-permanecer-el-virus-del-ebola-en-el-semen/
2016-03-22 23:31:52+00:00,"Scientists warn of emergence of new virus deadlier than Ebola, Zika https://today.ng/p/p6bo2"
2016-03-22 23:31:36+00:00,"""bleach yourself or you will get Ebola"" oh my fucking god my friends are just snsnndfnmdmd."
2016-03-22 23:31:14+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:31:11+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT http://ift.tt/1Rinevt"
2016-03-22 23:31:09+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:30:55+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://nyti.ms/1U6zi6E"
2016-03-22 23:30:39+00:00,You stuck crack up my nose when you punched me so now I have Ebola 
2016-03-22 23:30:39+00:00,En otras noticias: Ebola Fears Shut a Liberian Border http://ift.tt/1Rinevt #Xalapa
2016-03-22 23:30:37+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT http://ift.tt/1Rinevt"
2016-03-22 23:30:36+00:00,"""Ebola Fears Shut a Liberian Border"" por REUTERS via @nytimes http://ift.tt/1Rinevt"
2016-03-22 23:30:18+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:30:17+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:30:15+00:00,"I liked a @YouTube video http://youtu.be/D6-rooWoPFc?a UNITED NATIONS is Bringing the NWO 2016 - EBOLA, ISIS, WW3, Martial Law, Police"
2016-03-22 23:30:08+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://nyti.ms/1Ry9lwC"
2016-03-22 23:30:08+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:30:05+00:00,Ebola Fears Shut a Liberian Border - http://is.gd/iAqOzf - #world
2016-03-22 23:30:03+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:29:58+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:29:21+00:00,"En vrai, si @Chieanez n'était pas là, je crois que le cancer et ebola n'auraient jamais existé &lt;3 &lt;3"
2016-03-22 23:29:08+00:00,Quinta pessoa morre em volta repentina do Ebola http://dlvr.it/Ks8PzP
2016-03-22 23:28:36+00:00,Fifth person dies in Guinea Ebola flare-up http://dlvr.it/Ks8PYd
2016-03-22 23:28:08+00:00,http://GermanUSA.com Aus Angst vor Ebola: Liberia riegelt Grenze zu Guinea ab: Mehr als zwei Jahre lang geißelte… http://bit.ly/1Zq6RQH
2016-03-22 23:27:07+00:00,Liberia schließt Grenze zu Guinea wegen Ebola http://bit.ly/1VBTFrY
2016-03-22 23:27:05+00:00,Liberia schließt Grenze zu Guinea wegen Ebola http://bit.ly/1VBTFrY
2016-03-22 23:26:14+00:00,Aus Angst vor Ebola: Liberia riegelt Grenze zu Guinea ab - n-tv.de NACHRICHTEN http://news.google.com/news/url?sa=t&amp;fd=R&amp;ct2=de&amp;usg=AFQjCNEN0LSr4Occ7_D3FzA6AV8quoUiKg&amp;clid=c3a7d30bb8a4878e06b80cf16b898331&amp;cid=52779833763064&amp;ei=a9TxVoHGPM-yhAGw-pWoBA&amp;url=http://www.n-tv.de/panorama/Liberia-riegelt-Grenze-zu-Guinea-ab-article17293366.html
2016-03-22 23:25:57+00:00,How about an Ebola virus bomb? Put nature to use! 
2016-03-22 23:24:35+00:00,Thinking how I'll never be that guy for you -> EBOLA + AIDS
2016-03-22 23:23:44+00:00,"Ebola Scan for Mar 22, 2016: Guinea reports 5th Ebola death as Liberia closes border. A fifth person has died ... http://bit.ly/1Zq6g1p"
2016-03-22 23:23:31+00:00,Check out Double Bill: Blind Shaft + Ebola Syndrome http://bit.ly/1XbSb75
2016-03-22 23:23:05+00:00,Fifth person dies in Guinea Ebola flare-up http://reut.rs/1UDNJ2d
2016-03-22 23:22:55+00:00,Fourth person dies of Ebola in latest flare up in Guinea http://www.trust.org/item/20160319232244-ogqjg/?source=shtw via @TR_Foundation
2016-03-22 23:22:37+00:00,#Circulating #monoclonal #antibodies isolated from a 1995 #Ebola #survivor #neutralize recent Ebola #virus #variants http://ow.ly/ZPloB
2016-03-22 23:22:32+00:00,"""Like Ebola, #Trump goes viral and causes you to bleed from your eyes and ears."" ~Trevor Noah"
2016-03-22 23:22:24+00:00,Uitbraak ebola eist vijfde dode in Guinee: Een nieuwe uitbraak van ebola heeft in de West-Afrikaanse staat Gui... http://bit.ly/1U6xydJ
2016-03-22 23:22:11+00:00,#RememberThatTime You Got The Ebola
2016-03-22 23:22:10+00:00,#PressAfrik Au moins 5 morts dans la résurgence d'#Ebola en #Guinée http://tinyurl.com/z6wcw27
2016-03-22 23:20:50+00:00,Fifth Person Dies as Ebola Comes Back to Guinea - http://NBCNews.com http://goo.gl/R62Wca
2016-03-22 23:20:49+00:00,"Anonymous said: h-hows that ebola chan vn? sorry if this is a weird question, i saw your ebola chan post... https://tmblr.co/ZHG2ij23osysQ"
2016-03-22 23:20:14+00:00,"Die Medien können nur ein Thema gleichzeitig behandeln, bis sie es wechseln und das andere Egal wird... :Eurokriese,Ebola, Migration, AfD..."
2016-03-22 23:20:13+00:00,"Guinée: au moins cinq morts depuis la résurgence d’Ebola, le pays en alerte | Afrinews http://afrinews.org/guinee-au-moins-cinq-morts-depuis-la-resurgence-debola-le-pays-en-alerte/ via @sharethis"
2016-03-22 23:19:34+00:00,#Liberia closes border with #Ebola-hit #Guinea http://www.trust.org/item/20160322111712-syg1z/?source=shtw via @TR_Foundation
2016-03-22 23:18:21+00:00,#NAME?
2016-03-22 23:16:49+00:00,"""@ntvde: Aus Angst vor Ebola: Liberia riegelt Grenze zu Guinea ab http://n-tv.io/Ks88N4 "" #Unseminar"
2016-03-22 23:15:59+00:00,#Kabanews Mamou: prise de dispositions contre #Ebola http://tinyurl.com/jqk7xne
2016-03-22 23:15:53+00:00,#NAME?
2016-03-22 23:15:39+00:00,"Ebola Scan for Mar 22, 2016: Guinea reports 5th Ebola death as Liberia closes border. A fifth person has died ... http://wxhm.a.boysofts.com/1Oru"
2016-03-22 23:15:15+00:00,"""@oshoditv: = Mariah Carey refuses hugs and kisses from fans during £500 meet and greet http://www.radar.ng/2016/03/mariah-carey-refuses-hugs-and-kisses.html?utm_source=dlvr.it&amp;utm_medium=twitter"" it's not because of EBOLA"
2016-03-22 23:15:09+00:00,Liberia closes borders after Guinea announces new Ebola cases http://candogh.com/2016/03/22/liberia-closes-borders-after-guinea-announces-new-ebola-cases/
2016-03-22 23:14:28+00:00,International News • 'Liberia to receive Zmapp drug to treat Ebola virus' via @233liveOnline. Full story at http://233live.com/International/91581/Liberia+to+receive+Zmapp+drug+to+treat+Ebola+virus.html
2016-03-22 23:13:57+00:00,#Trending: Fifth person dies in #Guinea #Ebola #flareup http://bit.ly/1ULHDvu
2016-03-22 23:13:28+00:00,"""Idc I'll still eat chipotle even if it has Ebola"" ""Jordan, it's ecoli"""
2016-03-22 23:12:12+00:00,Aus Angst vor Ebola: Liberia riegelt Grenze zu Guinea ab http://n-tv.io/Ks88N4
2016-03-22 23:12:09+00:00,Aus Angst vor Ebola: Liberia riegelt Grenze zu Guinea ab http://dlvr.it/Ks88Gd #Panorama
2016-03-22 23:11:57+00:00,I only smoke Ebola free Kush
2016-03-22 23:11:39+00:00,#NAME?
2016-03-22 23:11:16+00:00,"Estamos no ar com o Faixa Nobre do Esporte #A3FM 91,3 e http://radioartilheiro.com.br Manda o papo!"
2016-03-22 23:09:54+00:00,"@1stworldmusic it's hard 4 people to believe #Ebola exists bc they have nothin to relate it to. Other than symptoms,we need to better define"
