Country,Cases,Deaths,Year,Month,Day
Estonia,13,0,2009,7,1
Ethiopia,2,0,2009,7,1
Fiji,2,0,2009,7,1
Finland,26,0,2009,7,1
France,287,0,2009,7,1
Germany,417,0,2009,7,1
Greece,92,0,2009,7,1
Guatemala ,254,2,2009,7,1
Honduras,118,1,2009,7,1
Hungary,10,0,2009,7,1
Iceland,4,0,2009,7,1
India,104,0,2009,7,1
Indonesia,8,0,2009,7,1
Iran,1,0,2009,7,1
Iraq,11,0,2009,7,1
Ireland,41,0,2009,7,1
Israel,506,0,2009,7,1
Italy,123,0,2009,7,1
Jamaica,32,0,2009,7,1
Japan,1266,0,2009,7,1
Jordan,20,0,2009,7,1
Kenya,1,0,2009,7,1
"Korea, Republic of",202,0,2009,7,1
Kuwait,34,0,2009,7,1
Laos,3,0,2009,7,1
Latvia,1,0,2009,7,1
Lebanon,39,0,2009,7,1
Lithuania,1,0,2009,7,1
Luxembourg,4,0,2009,7,1
Malaysia,112,0,2009,7,1
Mauritius,7,0,2009,7,1
Mexico,8680,116,2009,7,1
Montenegro,4,0,2009,7,1
Morocco,17,0,2009,7,1
Myanmar,1,0,2009,7,1
Nepal,3,0,2009,7,1
Netherlands,142,0,2009,7,1
New Zealand,711,0,2009,7,1
Nicaragua,293,0,2009,7,1
Norway,32,0,2009,7,1
Oman,3,0,2009,7,1
Panama,417,0,2009,7,1
Papua New Guinea,1,0,2009,7,1
Paraguay,96,0,2009,7,1
Peru,538,0,2009,7,1
Philippines,861,1,2009,7,1
Poland,15,0,2009,7,1
Portugal,17,0,2009,7,1
Qatar,10,0,2009,7,1
Romania,28,0,2009,7,1
Russia,3,0,2009,7,1
Saint Lucia,1,0,2009,7,1
Samoa,1,0,2009,7,1
Saudi Arabia,81,0,2009,7,1
Serbia,12,0,2009,7,1
Singapore,701,0,2009,7,1
Slovakia,13,0,2009,7,1
Slovenia,4,0,2009,7,1
South Africa,1,0,2009,7,1
Spain,717,1,2009,7,1
Sri Lanka,15,0,2009,7,1
Suriname,11,0,2009,7,1
Sweden,69,0,2009,7,1
Switzerland,56,0,2009,7,1
