virus_type,date,country,cases,deaths,recovered,week_number,month,year
Coronavirus,2020-02-17,Canada,1.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-18,Canada,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-19,Canada,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-20,Canada,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-21,Canada,1.0,0.0,2.0,8,2,2020
Coronavirus,2020-02-22,Canada,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-23,Canada,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-24,Canada,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-25,Canada,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-26,Canada,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-27,Canada,2.0,0.0,3.0,9,2,2020
Coronavirus,2020-02-28,Canada,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Canada,6.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Canada,4.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Canada,3.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Canada,3.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Chile,1.0,0.0,0.0,10,3,2020
Coronavirus,2020-01-22,China,235.0,3.0,0.0,4,1,2020
Coronavirus,2020-01-23,China,92.0,9.0,30.0,4,1,2020
Coronavirus,2020-01-24,China,261.0,8.0,6.0,4,1,2020
Coronavirus,2020-01-25,China,612.0,15.0,10.0,4,1,2020
Coronavirus,2020-01-26,China,703.0,24.0,2.0,4,1,2020
Coronavirus,2020-01-27,China,1627.0,27.0,5.0,5,1,2020
Coronavirus,2020-01-28,China,1389.0,26.0,33.0,5,1,2020
Coronavirus,2020-01-29,China,1644.0,37.0,9.0,5,1,2020
Coronavirus,2020-01-30,China,1536.0,42.0,44.0,5,1,2020
Coronavirus,2020-01-31,China,125.0,0.0,36.0,5,1,2020
Coronavirus,2020-02-01,China,2513.0,45.0,56.0,5,2,2020
Coronavirus,2020-02-02,China,2705.0,57.0,106.0,5,2,2020
Coronavirus,2020-02-03,China,3156.0,64.0,112.0,6,2,2020
Coronavirus,2020-02-04,China,3832.0,65.0,189.0,6,2,2020
Coronavirus,2020-02-05,China,115.0,2.0,130.0,6,2,2020
Coronavirus,2020-02-06,China,3092.0,72.0,254.0,6,2,2020
Coronavirus,2020-02-07,China,603.0,2.0,262.0,6,2,2020
Coronavirus,2020-02-08,China,2598.0,89.0,321.0,6,2,2020
Coronavirus,2020-02-09,China,34.0,1.0,220.0,6,2,2020
Coronavirus,2020-02-10,China,10726.0,198.0,1004.0,7,2,2020
Coronavirus,2020-02-11,China,6874.0,98.0,462.0,7,2,2020
Coronavirus,2020-02-12,China,4558.0,252.0,888.0,7,2,2020
Coronavirus,2020-02-13,China,3997.0,121.0,799.0,7,2,2020
Coronavirus,2020-02-14,China,25.0,1.0,335.0,7,2,2020
Coronavirus,2020-02-15,China,4478.0,281.0,2212.0,7,2,2020
Coronavirus,2020-02-16,China,2099.0,103.0,1454.0,7,2,2020
Coronavirus,2020-02-17,China,1918.0,98.0,1707.0,8,2,2020
Coronavirus,2020-02-18,China,1775.0,139.0,1744.0,8,2,2020
Coronavirus,2020-02-19,China,407.0,112.0,1753.0,8,2,2020
Coronavirus,2020-02-20,China,453.0,122.0,2050.0,8,2,2020
Coronavirus,2020-02-21,China,473.0,0.0,691.0,8,2,2020
Coronavirus,2020-02-22,China,1450.0,205.0,3994.0,8,2,2020
Coronavirus,2020-02-23,China,16.0,2.0,483.0,8,2,2020
Coronavirus,2020-02-24,China,214.0,150.0,1820.0,9,2,2020
Coronavirus,2020-02-25,China,508.0,70.0,2660.0,9,2,2020
