,Date,Country,Cases,Deaths,Recovered,week_number,month,year
141,2015-06-16,Guinea,3678.0,2444,1234,25,6,2015
142,2015-06-17,Guinea,3684.0,2444,1240,25,6,2015
143,2015-06-18,Guinea,3690.0,2445,1245,25,6,2015
144,2015-06-19,Guinea,3696.0,2446,1250,25,6,2015
145,2015-06-22,Guinea,3698.0,2456,1242,26,6,2015
146,2015-06-23,Guinea,3718.0,2473,1245,26,6,2015
147,2015-06-24,Guinea,3718.0,2473,1245,26,6,2015
148,2015-06-25,Guinea,3718.0,2480,1238,26,6,2015
149,2015-06-26,Guinea,3720.0,2480,1240,26,6,2015
150,2015-06-29,Guinea,3724.0,2482,1242,27,6,2015
151,2015-06-30,Guinea,3729.0,2482,1247,27,6,2015
152,2015-07-01,Guinea,3729.0,2482,1247,27,7,2015
153,2015-07-02,Guinea,3744.0,2490,1254,27,7,2015
154,2015-07-03,Guinea,3744.0,2492,1252,27,7,2015
155,2015-07-06,Guinea,3744.0,2498,1246,28,7,2015
156,2015-07-07,Guinea,3748.0,2499,1249,28,7,2015
157,2015-07-08,Guinea,3748.0,2499,1249,28,7,2015
158,2015-07-09,Guinea,3748.0,2505,1243,28,7,2015
159,2015-07-10,Guinea,3751.0,2505,1246,28,7,2015
160,2015-07-13,Guinea,3754.0,2506,1248,29,7,2015
161,2015-07-14,Guinea,3760.0,2506,1254,29,7,2015
162,2015-07-15,Guinea,3760.0,2506,1254,29,7,2015
163,2015-07-16,Guinea,3762.0,2506,1256,29,7,2015
164,2015-07-17,Guinea,3770.0,2509,1261,29,7,2015
165,2015-07-20,Guinea,3784.0,2511,1273,30,7,2015
166,2015-07-21,Guinea,3784.0,2512,1272,30,7,2015
167,2015-07-22,Guinea,3784.0,2512,1272,30,7,2015
168,2015-07-23,Guinea,3788.0,2516,1272,30,7,2015
169,2015-07-24,Guinea,3788.0,2517,1271,30,7,2015
170,2015-07-27,Guinea,3788.0,2519,1269,31,7,2015
171,2015-07-28,Guinea,3788.0,2520,1268,31,7,2015
172,2015-07-29,Guinea,3788.0,2520,1268,31,7,2015
173,2015-07-30,Guinea,3788.0,2521,1267,31,7,2015
174,2015-07-31,Guinea,3788.0,2521,1267,31,7,2015
175,2015-08-03,Guinea,3788.0,2522,1266,32,8,2015
176,2015-08-04,Guinea,3788.0,2522,1266,32,8,2015
177,2015-08-05,Guinea,3788.0,2522,1266,32,8,2015
178,2015-08-06,Guinea,3792.0,2524,1268,32,8,2015
179,2015-08-07,Guinea,3792.0,2524,1268,32,8,2015
180,2015-08-10,Guinea,3792.0,2524,1268,33,8,2015
181,2015-08-11,Guinea,3792.0,2524,1268,33,8,2015
